,Dataset,CoQA,,,,SQuAD,,,,TriviaQA,,,,NQ,,,
LLM,Methods,AUCr,AUCs,PCCr,PCCs,AUCr,AUCs,PCCr,PCCs,AUCr,AUCs,PCCr,PCCs,AUCr,AUCs,PCCr,PCCs
OPT-1.3B,LHDNC_AV,0.74918974,0.74471495,0.43481581,0.46177168,0.813382719,0.815353254,0.509759403,0.480295585,0.774518811,0.782632153,0.336349495,0.392105075,0.764216671,0.784138922,0.24620966,0.40781822
,LHDNC_AN,0.75043805,0.74681616,0.43732695,0.46246612,0.818437074,0.833036401,0.538410418,0.496558118,0.772043639,0.77869663,0.351413548,0.387574158,0.774284758,0.790705956,0.264357783,0.401911654
,LHDNC,0.771292915,0.766686601,0.438839855,0.467411774,0.791408816,0.798807406,0.487977041,0.460870493,0.778413398,0.791218885,0.373317586,0.395022623,0.79069958,0.798680919,0.297427309,0.38717197
OPT-2.7B,LHDNC_AV,0.76291729,0.74905135,0.45544222,0.46105224,0.814852373,0.816828209,0.534174442,0.502017914,0.788593157,0.797331357,0.402635536,0.430002233,0.757066066,0.757020666,0.259384817,0.36863787
,LHDNC_AN,0.76008601,0.74788126,0.45449121,0.45686566,0.819276913,0.813995972,0.541353217,0.514605327,0.786251477,0.79418219,0.416440156,0.431120326,0.762204084,0.76004248,0.270115437,0.36707343
,LHDNC,0.761839599,0.75137515,0.4564795,0.462628405,0.80328364,0.798435239,0.476386087,0.461547412,0.797442677,0.795687899,0.45173712,0.432230786,0.771159553,0.779863375,0.296433657,0.379367882
OPT-6.7B,LHDNC_AV,0.77699786,0.76457427,0.47669702,0.49455121,0.810014156,0.814854099,0.558503526,0.52653732,0.804750574,0.808265198,0.476843783,0.491850192,0.778656135,0.779848753,0.305389778,0.351610675
,LHDNC_AN,0.77062265,0.76109321,0.47442152,0.49119615,0.814992366,0.822252779,0.564099155,0.524584584,0.800455442,0.805622175,0.47921555,0.494662962,0.779999223,0.784341852,0.305355134,0.357596261
,LHDNC,0.794008413,0.773349886,0.478262568,0.472227723,0.820119887,0.816274259,0.516522024,0.480342691,0.809384886,0.817974005,0.490965356,0.497376478,0.790893175,0.793838655,0.367844745,0.365103779
Qwen2-7B,LHDNC_AV,0.79632004,0.77744912,0.50989261,0.52197878,0.755919088,0.724874795,0.537254281,0.512199564,0.822168978,0.824775346,0.522154888,0.539089209,0.756955409,0.760241322,0.347988476,0.38387211
,LHDNC_AN,0.79240606,0.78228335,0.51159405,0.51929226,0.754559671,0.730578508,0.530642433,0.512296153,0.815878607,0.817849754,0.531764831,0.536684747,0.759092498,0.762584415,0.359281431,0.38997734
,LHDNC,0.799447818,0.792862301,0.514731702,0.526941159,0.763172116,0.734863872,0.497485123,0.438020636,0.868707404,0.865294855,0.585631193,0.571714721,0.794620746,0.792833107,0.4381858,0.394335169
LLaMA-3-8B,LHDNC_AV,0.79595768,0.77992163,0.51434687,0.54718609,0.74065676,0.712713175,0.481735855,0.464920492,0.811727128,0.813930675,0.487073681,0.537629392,0.74896432,0.751026802,0.343886269,0.422320608
,LHDNC_AN,0.79461224,0.77676561,0.5267336,0.54162768,0.766503049,0.754514707,0.5070113,0.476060256,0.803466052,0.80653721,0.500459619,0.537542329,0.745822784,0.748505742,0.348438122,0.435421143
,LHDNC,0.815442411,0.797129247,0.536931366,0.551352782,0.762076426,0.746398006,0.463947238,0.438004067,0.846973179,0.8491737,0.588660491,0.571877727,0.774838558,0.782296814,0.450818806,0.459109329
LLaMA-2-13B,LHDNC_AV,0.80239251,0.79140113,0.48150138,0.49231095,0.830113432,0.826535855,0.610056724,0.598388368,0.828170879,0.825973908,0.543199009,0.555881528,0.757266125,0.760746525,0.382303362,0.437898268
,LHDNC_AN,0.80446921,0.79388437,0.50378384,0.49840588,0.833299652,0.829760417,0.621626534,0.605245361,0.822003908,0.820855835,0.554076766,0.557089767,0.755320315,0.760674993,0.384356248,0.442398966
,LHDNC,0.83788429,0.796980196,0.532729993,0.505479085,0.839109398,0.835365839,0.632000057,0.608502899,0.847548924,0.84467226,0.583510537,0.575756039,0.798498496,0.783185164,0.427136535,0.450711483